id,descripcion,tipo,clasificacion,tipo_red,seccion_completa,jurisdiccion,geojson,geom
18075940,LAT,LAT,C,AT Geografico,LAT ASCR 300/50mm2                                                                                                                      ,TIGRE                         ,"{""type"":""LineString"",""coordinates"":[[-58.6572930191399,-34.4008708429225],[-58.6616179285233,-34.398994815499]]}",0102000020E610000002000000238C7A2D22544DC0D3225CBC4F3341C035BA72E5AF544DC0B8EB1943123341C0
18077475,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7407154004946,-34.7225519147035],[-58.7406484260506,-34.7224865473378],[-58.7405215907618,-34.7224344001219],[-58.7404354746655,-34.7225054108488],[-58.7404064600393,-34.7225259312809]]}",0102000020E6100000050000004D6222C3CF5E4DC024A8C5947C5C41C04CDC4F91CD5E4DC0D14E6E707A5C41C0E9265769C95E4DC0B703FDBA785C41C0493EF296C65E4DC0AA63AB0E7B5C41C0D1CE8DA3C55E4DC07FAECEBA7B5C41C0
18077476,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7227640160517,-34.732965457067],[-58.7227910965604,-34.7329432009564],[-58.7232684176659,-34.7326406728006],[-58.7233472854257,-34.7325850703116]]}",0102000020E61000000400000073D50188835C4DC0AF99E5CFD15D41C092C82C6B845C4DC079F73215D15D41C0630D3C0F945C4DC0F7B2682BC75D41C0DB46D3A4965C4DC05F43FB58C55D41C0
18077477,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7165915242031,-34.7379198035424],[-58.7165157700723,-34.7379782839559],[-58.7163546245828,-34.7381007490148],[-58.7156098353495,-34.7374681697998],[-58.7155828266956,-34.7374908281315],[-58.715561131526,-34.7375190176376]]}",0102000020E61000000600000084856445B95B4DC089A4F727745E41C0ABC3EBC9B65B4DC0D25F8912765E41C0F6752282B15B4DC0FE15D9157A5E41C0D2C2631A995B4DC0CA90635B655E41C04B1ED337985B4DC05FF67519665E41C0AD18D581975B4DC04277EE05675E41C0
18077481,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7030910737352,-34.7268965127528],[-58.7023835418386,-34.7262934283829]]}",0102000020E610000002000000B3E667E3FE594DC0C6ECE6F10A5D41C008B932B4E7594DC02B1ADD2EF75C41C0
18077482,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7037809633917,-34.7274845470541],[-58.7030910737352,-34.7268965127528]]}",0102000020E61000000200000046A89E7E155A4DC0ACF8B0361E5D41C0B3E667E3FE594DC0C6ECE6F10A5D41C0
18077483,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7044643687885,-34.7280670425339],[-58.7037809633917,-34.7274845470541]]}",0102000020E6100000020000006D9270E32B5A4DC0447D044D315D41C046A89E7E155A4DC0ACF8B0361E5D41C0
18077484,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7051656365937,-34.72866475059],[-58.7044643687885,-34.7280670425339]]}",0102000020E61000000200000072B719DE425A4DC01FC4F4E2445D41C06D9270E32B5A4DC0447D044D315D41C0
18077485,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7059140996252,-34.7293026705375],[-58.7051656365937,-34.72866475059]]}",0102000020E61000000200000071D6A9645B5A4DC0086C37CA595D41C072B719DE425A4DC01FC4F4E2445D41C0
18077486,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7066154300213,-34.7299004061586],[-58.7059140996252,-34.7293026705375]]}",0102000020E6100000020000003365D95F725A4DC0E4E462606D5D41C071D6A9645B5A4DC0086C37CA595D41C0
18077487,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7073166084705,-34.7304979998056],[-58.7066154300213,-34.7299004061586]]}",0102000020E61000000200000039A6C259895A4DC0B47A5DF5805D41C03365D95F725A4DC0E4E462606D5D41C0
18077488,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7079965325284,-34.7310774670502],[-58.7073166084705,-34.7304979998056]]}",0102000020E6100000020000000E7260A19F5A4DC058E949F2935D41C039A6C259895A4DC0B47A5DF5805D41C0
18077489,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7086663423457,-34.7316483029431],[-58.7079965325284,-34.7310774670502]]}",0102000020E6100000020000004E132694B55A4DC03DA8CEA6A65D41C00E7260A19F5A4DC058E949F2935D41C0
18077490,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7093685808235,-34.732246763476],[-58.7086663423457,-34.7316483029431]]}",0102000020E61000000200000031B9F396CC5A4DC097DD0E43BA5D41C04E132694B55A4DC03DA8CEA6A65D41C0
18077491,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7100881555546,-34.7328599853228],[-58.7093685808235,-34.732246763476]]}",0102000020E61000000200000026B12E2BE45A4DC00FC1225BCE5D41C031B9F396CC5A4DC097DD0E43BA5D41C0
18077492,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7107838800315,-34.7334528694726],[-58.7100881555546,-34.7328599853228]]}",0102000020E6100000020000002EA157F7FA5A4DC069C59BC8E15D41C026B12E2BE45A4DC00FC1225BCE5D41C0
18077493,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7114198266285,-34.733994801236],[-58.7107838800315,-34.7334528694726]]}",0102000020E6100000020000003D8C0CCE0F5B4DC0115FA98AF35D41C02EA157F7FA5A4DC069C59BC8E15D41C0
18077494,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7121370165423,-34.7346059534424],[-58.7114198266285,-34.733994801236]]}",0102000020E610000002000000F828464E275B4DC0B4BD6091075E41C03D8C0CCE0F5B4DC0115FA98AF35D41C0
18077495,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7128403239667,-34.7352052630417],[-58.7121370165423,-34.7346059534424]]}",0102000020E610000002000000795A0B5A3E5B4DC0414EC0341B5E41C0F828464E275B4DC0B4BD6091075E41C0
18077496,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.713525528585,-34.7357891346243],[-58.7128403239667,-34.7352052630417]]}",0102000020E6100000020000001B11F5CD545B4DC050FB9E562E5E41C0795A0B5A3E5B4DC0414EC0341B5E41C0
18077497,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7142149012746,-34.7363765458592],[-58.713525528585,-34.7357891346243]]}",0102000020E61000000200000025A5D5646B5B4DC0D7002F96415E41C01B11F5CD545B4DC050FB9E562E5E41C0
18077498,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7149072422257,-34.7369664742079],[-58.7142149012746,-34.7363765458592]]}",0102000020E61000000200000034849C14825B4DC0597CDCEA545E41C025A5D5646B5B4DC0D7002F96415E41C0
18077499,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.715561131526,-34.7375190176376],[-58.7155059634702,-34.737483110879],[-58.714933830942,-34.7369891296283],[-58.7149072422257,-34.7369664742079]]}",0102000020E610000004000000AD18D581975B4DC04277EE05675E41C04E990CB3955B4DC0F049B9D8655E41C09459A7F3825B4DC070A1E8A8555E41C034849C14825B4DC0597CDCEA545E41C0
18077500,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.715561131526,-34.7375190176376],[-58.7155892844269,-34.7375545083525],[-58.7164452709591,-34.7382709430135],[-58.7165180038336,-34.7383319806611]]}",0102000020E610000004000000AD18D581975B4DC04277EE05675E41C09FFDFE6D985B4DC01232A62F685E41C05812887AB45B4DC044EA89A97F5E41C0F7BAA8DCB65B4DC0E6438FA9815E41C0
18077503,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.739421844397,-34.7232223305305],[-58.7394505854405,-34.7232015480662],[-58.7403774433021,-34.7225464531892],[-58.7404064600393,-34.7225259312809]]}",0102000020E61000000400000005D1FF5FA55E4DC0BFAEA08C925C41C0D0BC1851A65E4DC032AE4ADE915C41C0D7D624B0C45E4DC0EE24F5667C5C41C0D1CE8DA3C55E4DC07FAECEBA7B5C41C0
18077504,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7382078913872,-34.7240999444298],[-58.7382377290441,-34.7240802434373],[-58.7393931024673,-34.7232431136005],[-58.739421844397,-34.7232223305305]]}",0102000020E61000000400000024949F987D5E4DC03D2E964EAF5C41C07B75EB927E5E4DC0139F52A9AE5C41C01CFEE46EA45E4DC051FCF73A935C41C005D1FF5FA55E4DC0BFAEA08C925C41C0
18077505,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7382078913872,-34.7240999444298],[-58.7381780527677,-34.7241196460537],[-58.7378684809613,-34.7243503573353],[-58.7378395201152,-34.7243709345313]]}",0102000020E61000000400000024949F987D5E4DC03D2E964EAF5C41C096A1519E7C5E4DC09018DBF3AF5C41C02A3D7179725E4DC0E8CC3383B75C41C0A94B8086715E4DC011FED02FB85C41C0
18077506,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7378395201152,-34.7243709345313],[-58.7378105625104,-34.7243915094103],[-58.7366390526691,-34.7252232198138],[-58.7366104900144,-34.7252441719036]]}",0102000020E610000004000000A94B8086715E4DC011FED02FB85C41C011509693705E4DC0713569DCB85C41C0CD1540304A5E4DC037B34D1DD45C41C04C40A640495E4DC065F80FCDD45C41C0
18077507,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7366104900144,-34.7252441719036],[-58.7365819290449,-34.7252651227781],[-58.7354314278223,-34.7261091623955],[-58.7354028001089,-34.7261300551726]]}",0102000020E6100000040000004C40A640495E4DC065F80FCDD45C41C047091051485E4DC075A1CF7CD55C41C04679F59D225E4DC041E82025F15C41C065EDCFAD215E4DC0F6CD63D4F15C41C0
18077508,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7354028001089,-34.7261300551726],[-58.7353741751753,-34.7261509458355],[-58.7342229443434,-34.7269911822633],[-58.734194275515,-34.7270120321543]]}",0102000020E61000000400000065EDCFAD215E4DC0F6CD63D4F15C41C0B159B0BD205E4DC05429A283F25C41C0BDF67604FB5D4DC090260C0C0E5D41C0A41FF913FA5D4DC060F3F2BA0E5D41C0
18077509,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.734194275515,-34.7270120321543],[-58.7341656038792,-34.7270328840643],[-58.7330305978736,-34.7278596644717],[-58.733001121118,-34.7278797610315]]}",0102000020E610000004000000A41FF913FA5D4DC060F3F2BA0E5D41C036417523F95D4DC01616DE690F5D41C0C86A56F2D35D4DC0E77D67812A5D41C0099111FBD25D4DC07B86FC292B5D41C0
18077510,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.733001121118,-34.7278797610315],[-58.7329730031802,-34.7279011212346],[-58.7320656767405,-34.7285352261089],[-58.7320195289699,-34.7285483789969]]}",0102000020E610000004000000099111FBD25D4DC07B86FC292B5D41C043C1320FD25D4DC04D362BDD2B5D41C0F60FFE53B45D4DC0920F6DA4405D41C0C37AE0D0B25D4DC03BACC212415D41C0
18077511,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7320195289699,-34.7285483789969],[-58.7319730520034,-34.7285360414903],[-58.7312441987768,-34.7279231163274],[-58.731218156098,-34.7279000356693]]}",0102000020E610000004000000C37AE0D0B25D4DC03BACC212415D41C030F4FF4AB15D4DC03B1444AB405D41C07091EF68995D4DC07C50AD952C5D41C05B57798E985D4DC074FA0FD42B5D41C0
18077512,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.731218156098,-34.7279000356693],[-58.7311921119286,-34.7278769541969],[-58.7305060628543,-34.7272665517777],[-58.7304339381502,-34.7272050298572]]}",0102000020E6100000040000005B57798E985D4DC074FA0FD42B5D41C0C5E9FFB3975D4DC0D5E470122B5D41C098BE0039815D4DC00EAE0312175D41C0281FFADB7E5D4DC0945CEE0D155D41C0
18077513,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7300104144087,-34.7272374309176],[-58.7300852042407,-34.7271781147465],[-58.7302477355778,-34.7270504074043],[-58.7303617377946,-34.7271435666668],[-58.7304339381502,-34.7272050298572]]}",0102000020E610000005000000FBCF33FB705D4DC0F01BBB1D165D41C0EBC0956E735D4DC0019A262C145D41C06B24FFC1785D4DC0292CDDFC0F5D41C0ED09517E7C5D4DC0542A570A135D41C0281FFADB7E5D4DC0945CEE0D155D41C0
18077514,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7300104144087,-34.7272374309176],[-58.7299358772073,-34.7272969602293],[-58.7287729517048,-34.7282263868317],[-58.7287451719773,-34.7282480441233]]}",0102000020E610000004000000FBCF33FB705D4DC0F01BBB1D165D41C02964F0896E5D4DC01B551911185D41C00DE49C6E485D4DC05AC3B185365D41C052619485475D4DC05F715E3B375D41C0
18077515,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7287451719773,-34.7282480441233],[-58.7287173922246,-34.7282697013902],[-58.7273988649493,-34.7292965404343],[-58.7273717513951,-34.7293187661957]]}",0102000020E61000000400000052619485475D4DC05F715E3B375D41C0CDD08B9C465D4DC0BF110BF1375D41C0690DF0671B5D4DC02E20CB96595D41C05A237E841A5D4DC0BC953C515A5D41C0
18077516,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7273717513951,-34.7293187661957],[-58.7273446380802,-34.7293409917731],[-58.7261790558441,-34.7302966738661],[-58.7261517997023,-34.730318778002]]}",0102000020E6100000040000005A237E841A5D4DC0BC953C515A5D41C0DBBC0CA1195D4DC018A6AD0B5B5D41C0FDF16F6FF35C4DC0EF50855C7A5D41C092D3CB8AF25C4DC02996F1157B5D41C0
18077517,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7247479921563,-34.7314571981451],[-58.7247753472539,-34.7314351730408],[-58.7261245405164,-34.7303408846144],[-58.7261517997023,-34.730318778002]]}",0102000020E6100000040000008F13CE8AC45C4DC0833AB463A05D41C083B34670C55C4DC05BADF1AA9F5D41C0A72B21A6F15C4DC0E22C63CF7B5D41C092D3CB8AF25C4DC02996F1157B5D41C0
18077518,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7247479921563,-34.7314571981451],[-58.724720639034,-34.7314792216413],[-58.7234261522854,-34.7325294683373],[-58.7233472854257,-34.7325850703116]]}",0102000020E6100000040000008F13CE8AC45C4DC0833AB463A05D41C08BB159A5C35C4DC09853731CA15D41C08491683A995C4DC0B1EE8E86C35D41C0DB46D3A4965C4DC05F43FB58C55D41C0
18077519,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7220910801196,-34.7335185043335],[-58.7221183142617,-34.7334963785581],[-58.7227369381383,-34.7329877110083],[-58.7227640160517,-34.732965457067]]}",0102000020E61000000400000068EC027B6D5C4DC0C98F31EFE35D41C05CCC775F6E5C4DC01CD29635E35D41C02B75DCA4825C4DC04993938AD25D41C073D50188835C4DC0AF99E5CFD15D41C0
18077520,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7220910801196,-34.7335185043335],[-58.722063845797,-34.7335406302449],[-58.7214421679424,-34.7340463271533],[-58.72141455534,-34.7340681313005]]}",0102000020E61000000400000068EC027B6D5C4DC0C98F31EFE35D41C03DA98D966C5C4DC03798CCA8E45D41C04EA28A37585C4DC0A96FE43AF55D41C09A05E94F575C4DC0607CCCF1F55D41C0
18077521,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.72141455534,-34.7340681313005],[-58.7213869428337,-34.7340899353521],[-58.7207315849793,-34.7346070736075],[-58.7207041887382,-34.7346290640853]]}",0102000020E6100000040000009A05E94F575C4DC0607CCCF1F55D41C0B29D4768565C4DC08054B4A8F65D41C01057BDEE405C4DC0FB46C69A075E41C03E5CEC08405C4DC003783E53085E41C0
18077522,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7207041887382,-34.7346290640853],[-58.7206767934638,-34.7346510532329],[-58.7200262429439,-34.7351725642031],[-58.7199992512546,-34.7351948908671]]}",0102000020E6100000040000003E5CEC08405C4DC003783E53085E41C0E0741D233F5C4DC0BDCDB30B095E41C05EDAE6D1295C4DC09B1574221A5E41C034A47AEF285C4DC0F53ABEDD1A5E41C0
18077523,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7199992512546,-34.7351948908671],[-58.7199722580466,-34.7352172187709],[-58.7193277790045,-34.735751107973],[-58.7193003102715,-34.7357730343112]]}",0102000020E61000000400000034A47AEF285C4DC0F53ABEDD1A5E41C02D2B0B0D285C4DC0DB090B991B5E41C0DEF6C2EE125C4DC0B05EA1172D5E41C0364F5608125C4DC098D28FCF2D5E41C0
18077524,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7193003102715,-34.7357730343112],[-58.7192728395125,-34.735794962226],[-58.7186138309731,-34.7363212007236],[-58.7185862367126,-34.7363430224602]]}",0102000020E610000004000000364F5608125C4DC098D28FCF2D5E41C0B64DE521115C4DC045A981872E5E41C0D03DBB89FB5B4DC0CB3AEAC53F5E41C0A40441A2FA5B4DC05B0DF87C405E41C0
18077525,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7185862367126,-34.7363430224602],[-58.7185586439849,-34.7363648429716],[-58.717895404786,-34.7368889476965],[-58.7178680453951,-34.7369109687608]]}",0102000020E610000004000000A40441A2FA5B4DC05B0DF87C405E41C03016CABAF95B4DC05C3E0334415E41C097C022FFE35B4DC0FC918560525E41C065E8A019E35B4DC01B723F19535E41C0
18077526,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7178680453951,-34.7369109687608],[-58.7178406858113,-34.7369329900601],[-58.7171852622496,-34.7374614533911],[-58.7171573515811,-34.7374829998753]]}",0102000020E61000000400000065E8A019E35B4DC01B723F19535E41C01EA61E34E25B4DC062D3F9D1535E41C0814407BACC5B4DC00B300C23655E41C03690E5CFCB5B4DC004E9CAD7655E41C0
18077527,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7171573515811,-34.7374829998753],[-58.7171294429314,-34.7375045447788],[-58.7166672807452,-34.7378613219428],[-58.7165915242031,-34.7379198035424]]}",0102000020E6100000040000003690E5CFCB5B4DC004E9CAD7655E41C0CE31C8E5CA5B4DC0F23C868C665E41C00175E2C0BB5B4DC0225D633D725E41C084856445B95B4DC089A4F727745E41C0
18077529,LAT,LAT,C,AT Geografico,LAT ASCR 300/50mm2,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.6679529365259,-34.7498871220163],[-58.6664241734563,-34.749286379193]]}",0102000020E610000002000000B2D2587B7F554DC037601C4DFC5F41C01F2127634D554DC06DFCB69DE85F41C0
18077530,LAT,LAT,C,AT Geografico,LAT ASCR 300/50mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.6722128954595,-34.7466329666238],[-58.6681143710108,-34.7499335802342],[-58.6679529365259,-34.7498871220163]]}",0102000020E61000000300000059F978120B564DC0E4E146AB915F41C055BD8EC584554DC09EA3D4D2FD5F41C0B2D2587B7F554DC037601C4DFC5F41C0
18077531,LAT,LAT,C,AT Geografico,LAT ASCR 300/50mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.6696832902467,-34.744218445108],[-58.6723549897351,-34.7465185282716],[-58.6722128954595,-34.7466329666238]]}",0102000020E610000003000000C7249B2EB8554DC0C968CD8C425F41C0791B72BA0F564DC070644CEB8D5F41C059F978120B564DC0E4E146AB915F41C0
18077532,LAT,LAT,C,AT Geografico,LAT ASCR 300/50mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.6760092165886,-34.7390562608255],[-58.6695893056083,-34.7441375297759],[-58.6696832902467,-34.744218445108]]}",0102000020E6100000030000007685527887564DC01F134365995E41C062AB341AB5554DC08F0E09E63F5F41C0C7249B2EB8554DC0C968CD8C425F41C0
18077533,LAT,LAT,C,AT Geografico,LAT ASCR 300/50mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.6713278541544,-34.7342586163748],[-58.6761650172608,-34.7389329345797],[-58.6760092165886,-34.7390562608255]]}",0102000020E610000003000000573E3512EE554DC06A11B42FFC5D41C0D3EA45938C564DC082FAB95A955E41C07685527887564DC01F134365995E41C0
18077534,LAT,LAT,C,AT Geografico,LAT ASCR 300/50mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.6914803989771,-34.7183238344837],[-58.6712507734321,-34.734184124867],[-58.6713278541544,-34.7342586163748]]}",0102000020E61000000300000047B7016E82584DC0BA851009F25B41C01CA79B8BEB554DC0E6C5D2BEF95D41C0573E3512EE554DC06A11B42FFC5D41C0
18077535,LAT,LAT,C,AT Geografico,LAT ASCR 300/50mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.6958072558686,-34.7218954114741],[-58.6956621176923,-34.7218100197017],[-58.691570485832,-34.7182531836848],[-58.6914803989771,-34.7183238344837]]}",0102000020E6100000040000003D23503610594DC0F1B49F11675C41C0FB46CE740B594DC0A2454E45645C41C077C3B56185584DC0451667B8EF5B41C047B7016E82584DC0BA851009F25B41C0
18077536,LAT,LAT,C,AT Geografico,LAT ASCR 300/50mm2,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.698758736087,-34.7236318345329],[-58.6958072558686,-34.7218954114741]]}",0102000020E610000002000000D7A41FED70594DC0E9D4CBF79F5C41C03D23503610594DC0F1B49F11675C41C0
18077537,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7178881674573,-34.73947668622],[-58.7178609655688,-34.73945453284],[-58.7165907398547,-34.7383930208228],[-58.7165180038336,-34.7383319806611]]}",0102000020E61000000400000010B56CC2E35B4DC014BC0B2CA75E41C0B2183DDEE25B4DC0A5B63572A65E41C06825D03EB95B4DC0AA039AA9835E41C0F7BAA8DCB65B4DC0E6438FA9815E41C0
18077538,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7178881674573,-34.73947668622],[-58.7179153707517,-34.7394988407084],[-58.7192304027299,-34.74063251739],[-58.7192576134228,-34.740654663756]]}",0102000020E61000000400000010B56CC2E35B4DC014BC0B2CA75E41C04E569FA6E45B4DC0E522E4E5A75E41C0CA01E9BD0F5C4DC0AE45DC0BCD5E41C063862BA2105C4DC01C3BA3C5CD5E41C0
18077539,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7192576134228,-34.740654663756],[-58.719284825478,-34.7406768112209],[-58.7206185568353,-34.7418152121614],[-58.720644654178,-34.7418382551755]]}",0102000020E61000000400000063862BA2105C4DC01C3BA3C5CD5E41C0F4F77086115C4DC0B18C6C7FCE5E41C0C83F973A3D5C4DC050F405CDF35E41C0ADDD82153E5C4DC03F73528EF45E41C0
18077540,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.720644654178,-34.7418382551755],[-58.7206707512016,-34.7418612978652],[-58.7219658939275,-34.7429642150664],[-58.7219931542734,-34.7429863194475]]}",0102000020E610000004000000ADDD82153E5C4DC03F73528EF45E41C022CC6DF03E5C4DC0DE3F9E4FF55E41C07D9FDF60695C4DC079E78E73195F41C029C58C456A5C4DC088B3FB2C1A5F41C0
18077541,LAT,LAT,C,AT Geografico,LAT ASCR 240/40mm2                                                                                                                      ,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7219931542734,-34.7429863194475],[-58.7220204172005,-34.7430084259139],[-58.7233673256849,-34.7441546011972],[-58.7233941441339,-34.7441770734309]]}",0102000020E61000000400000029C58C456A5C4DC088B3FB2C1A5F41C0D1753F2A6B5C4DC0EAF96CE61A5F41C0E767EF4C975C4DC0A6A73D75405F41C02296E72D985C4DC0CC68C031415F41C0
